licitacao_id,item_portfolio_id,descricao_portfolio,score,tipo_match
07954480000179202525170_202526129/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
4249860000017120256439_PE 261/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256440_PE 263/25/2025,,CLOPIDOGREL 75 MG CX/30 COMP (I) (G),69.39%,MÉDIO
4249860000017120256440_PE 263/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256441_PE 264/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,65.12%,MÉDIO
4249860000017120256441_PE 264/25/2025,,SERINGA 60 ML S/AGULHA LOCK,61.54%,MÉDIO
4249860000017120256441_PE 264/25/2025,,SERINGA 3 ML C/AGULHA LOCK,55.56%,MÉDIO
4249860000017120256441_PE 264/25/2025,,SERINGA 5 ML C/AGULHA LOCK,55.56%,MÉDIO
4249860000017120256441_PE 264/25/2025,,SERINGA 20 ML C/AGULHA LOCK,54.05%,MÉDIO
4249860000017120256442_PE 265/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
131287800044312025150_00105/2025,,SUPLEMENTO ALIMENTAR 340 MG CX/510 CPR,68.97%,MÉDIO
4249860000017120256445_PE 262/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
151807140001042025309_90134/2025,,"COMPLEXO ""B"" C/500 DRG",57.14%,MÉDIO
46374500000194202512602_90137/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
184313120006202025262_90567/2025,,DIVALPROATO SODIO 250MG C/30 CPR,69.39%,MÉDIO
184313120006202025262_90567/2025,,DEXPANTENOL 50MG/G POM 30G,59.46%,MÉDIO
079546050001602025785_90284/2025,,FRASCO P/NUTRICÃO ENTERAL 300ML,59.09%,MÉDIO
079546050001602025785_90284/2025,,FRASCO P/NUTRIÇÃO ENTERAL 300ML,59.09%,MÉDIO
18297226000161202546_00034/2025,,SUPLEMENTO ALIMENTAR 340 MG CX/510 CPR,75.41%,ALTO
07954480000179202525189_202516464/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,59.52%,MÉDIO
07954480000179202525189_202516464/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,58.54%,MÉDIO
07954480000179202525189_202516464/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,56.79%,MÉDIO
07954480000179202525189_202516464/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,56.79%,MÉDIO
07954480000179202525189_202516464/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,56.79%,MÉDIO
07954480000179202525191_202521124/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,53.73%,MÉDIO
07954480000179202525192_202530518/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202525192_202530518/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202525193_202513245/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202525193_202513245/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202525194_202522758/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202525194_202522758/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
184288390001902025368_PL-464/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
110225970012442025149_03779/2025,,SONDA URETRAL N.12,83.87%,ALTO
110225970012442025149_03779/2025,,SONDA P/ASPIR.TRAQUEAL N.12,68.29%,MÉDIO
05149158000141202523_90018/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
6302553000010420255528_90103/2025,,ENOXAPARINA 40MG C/10 SERI (I) PRONTO USO,50.00%,MÉDIO
1312879800109420262_PE0003/2026,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
07954480000179202525216_202524115/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202525216_202524115/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202525218_202524776/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,54.55%,MÉDIO
4570992000011120253335_00090/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
